,Unnamed: 0,Site No.,Rain Date,Elevation,NDVI,Historical Temperature,Historical Precipitation,Temperature,Precipitation,slope_r,frag3to10_r,sandtotal_r,silttotal_r,claytotal_r,Flood Event
28,28,922178,2020-09-09,1726.641304347826,2991.8097826086955,24.355202627182013,2.0619593978459307,22.983536958694454,2.184609368443489,0.15083986340333344,0.1641869778795083,0.5612150037643446,0.25575342967036674,0.17230133968259026,1
56,56,923043,2020-09-08,1406.6021505376345,2593.2311827956987,26.29373008503633,1.6979632431696006,27.708303563735065,0.0,0.17087961195438647,0.03255824626856328,0.34559734908147,0.2541608882473796,0.14527069576522958,1
87,87,923044,2020-09-08,1217.4919786096254,2479.716577540107,27.912417159361,1.080423522308496,28.745572819429285,0.0,0.20591043742796653,0.07895706790777833,0.6023671182521734,0.26727058456742364,0.19274449823179174,1
118,118,912740,2020-08-30,537.9470899470898,1601.2433862433866,36.2040489799098,0.24814276224435736,31.76549389487819,3.701815780840422,0.1138271818590699,0.0319475328913876,0.4753119918511076,0.2486547198296107,0.14806857494860534,1
150,150,912736,2020-08-30,521.0698924731183,1650.489247311828,35.99470065832138,0.08597031315875939,32.136727571487434,2.461906272917986,0.09263036420030682,0.02233085993912189,0.3661200643386217,0.3101105496942402,0.11823898294574844,1
182,182,918475,2020-08-30,803.2331606217616,2196.2331606217613,35.166912597417834,0.4800226561789714,29.451135039329532,5.4740000218153,0.30655631046582105,0.13077745143498612,0.4498275992735242,0.2517922276545472,0.17279490596561212,1
214,214,912700,2020-08-30,532.4569892473119,1460.0537634408604,34.45237526893616,0.8112671886046883,31.419952273368835,4.441000029444695,0.18822901720585905,0.07780343543965768,1.0739736082813829,0.4173079731309736,0.2368088199306152,1
245,245,918474,2020-08-30,1227.5531914893618,3485.255319148936,31.31006902456284,0.3776140602342821,26.53896188735962,5.97042191028595,3.0057116971990903,2.0951204944580897,4.3627445294553935,1.703806440667195,1.0763062726587709,1
274,274,912702,2020-08-30,1389.182291666667,4007.229166666666,29.046029006110302,0.555629859180125,24.748206350538467,3.6403611368603177,1.6278610723987688,1.2427062238106652,2.600999465457749,1.0615250476585718,0.6751774109019858,1
303,303,919644,2020-08-29,1064.0,2917.2864864864864,31.445263355970386,1.2309429579688185,30.860952377319336,0.0,0.2163859478059312,0.0799462983199387,0.8683199101730115,0.2961235008607193,0.3455798318951845,1
334,334,911449,2020-08-29,378.1182795698925,1754.338709677419,36.74947302076552,0.10591944432639544,37.324653201633026,0.13113889049661034,0.026844174977647864,0.01408187676169667,0.312849205219227,0.1768279831748928,0.10756440789461813,1
368,368,919643,2020-08-29,1134.3152173913045,2925.445652173913,31.41231762341091,0.3000508950078386,31.092585018702923,0.014160713837814653,0.2994568120954021,0.208254736058326,1.185334868718071,0.6463235933671782,0.3548386354548187,1
398,398,918471,2020-08-23,1543.3141361256546,3534.465968586388,25.799396138721047,0.3725784732904382,25.975886662801102,2.269402775499556,0.20006041073793368,0.029605672993551314,0.6201902776116541,0.42133277970469735,0.4828816710228214,1
429,429,910149,2020-08-22,831.3157894736843,2657.5,32.99431798798697,0.25645446645201964,30.62491512298584,0.037214286856137084,0.5926294111691532,0.32486740626091937,1.1415623921203564,0.4147016378581123,0.22792222083415098,1
461,461,911440,2020-08-20,382.4414893617021,2111.1648936170213,36.292951240539544,0.00878999994214003,37.43891270955404,0.1798666658170987,0.0383115200035647,0.014179508226218869,0.5507723783193207,0.32913178148137684,0.19108146086574893,1
495,495,919562,2020-08-20,774.2265193370166,2067.9060773480664,33.93566106690301,0.16883124867607774,34.32442559136285,0.07640278339385986,0.07390112774036049,0.04471004776864378,0.2696143908171662,0.08551493922460471,0.05545616398439812,1
527,527,911551,2020-08-18,1194.2931937172775,2729.0785340314137,28.76945486802321,0.0009682692300814851,30.858039415799656,0.0,0.47730880883143895,0.5169413876476386,1.2007607752051774,0.5415370041753619,0.34334145042321385,1
559,559,919553,2020-08-16,920.0531914893616,2538.4361702127662,32.43109985589981,0.22472969196087436,33.7986912727356,0.0,0.10202677985037097,0.028453720645589688,0.737270122399119,0.22800597374001505,0.2885924087138196,1
590,590,919429,2020-08-02,1474.1945945945945,3280.832432432433,26.046779183780448,2.5305470583129237,27.620733148911423,1.3376617505016517,0.30321572824055776,0.20828456245435867,0.6308572792033009,0.3688000518639665,0.20922004422613455,1
623,623,899696,2020-07-27,1964.2113402061852,2354.257731958763,23.53111881256104,0.8000391657867779,21.663387807210288,2.7438666502634685,0.16876661488322156,0.0038200739507631494,1.265887116986613,0.4159689905536904,0.4252082947162804,1
653,653,899698,2020-07-27,1996.6842105263158,4965.715789473684,22.602361827738147,1.2840036723642911,20.236262601964615,6.637764706331142,0.29850525234523384,0.22407077796965316,0.7113942163439938,0.5196667219129361,0.30455814499874817,1
690,690,904685,2020-07-23,298.6182795698925,1706.645161290323,35.335523616566384,0.0,34.87298471787397,0.00048529414240928255,0.11168282836861156,0.0571880445936999,0.7803997357944475,0.2995166317136995,0.16896814180544528,1
717,717,913355,2020-07-23,1231.016129032258,3292.7204301075267,30.098207675709443,0.3645227951790302,27.20645253798541,2.2311323359317607,0.2426901359352781,0.2685820911867826,1.0059804276927349,0.6606184073915031,0.38110574695800997,1
747,747,913704,2020-07-23,748.0578947368422,1998.963157894737,33.47845376667223,0.08776118381371673,32.05669393037495,2.145394764056331,0.07711244446334375,0.010427895493855394,0.234572786969314,0.08004371782208533,0.05273360071211222,1
